date,slot,source_type,source_id,video_id,source_title,theme_cluster,article_angle,status
2026-08-25,AM,evergreen,H27,KJR6QF8vmD0,Остеопатия это секта!,остеопатия/доверие,Почему к остеопатии относятся с недоверием: честный разговор без крайностей,planned
2026-08-25,PM,evergreen,H27,KJR6QF8vmD0,Остеопатия это секта!,остеопатия/доверие,Как отличить бережный телесный подход от громких обещаний,planned
2026-08-26,AM,evergreen,H26,TpM40sWFFAM,Кто такой остеопат? Подкаст,остеопатия/профессия,Остеопат простыми словами: что он должен видеть кроме места боли,planned
2026-08-26,PM,evergreen,H26,TpM40sWFFAM,Кто такой остеопат? Подкаст,остеопатия/профессия,Почему системный специалист не обещает чудо за один прием,planned
2026-08-27,AM,evergreen,H08,ibxZ-Qorb5g,Тело как инструмент познания,философия тела,Тело помнит привычки: почему симптомы иногда говорят о стиле жизни,planned
2026-08-27,PM,evergreen,H08,ibxZ-Qorb5g,Тело как инструмент познания,философия тела,Как слушать тело без тревоги и бесконечных самодиагнозов,planned
2026-08-28,AM,evergreen,H07,Ix4ECGiJ9t4,Как выучить анатомию за 3 месяца,анатомия/обучение,Анатомия для практики: почему картинки не заменяют понимание движения,planned
2026-08-28,PM,evergreen,H07,Ix4ECGiJ9t4,Как выучить анатомию за 3 месяца,анатомия/обучение,"Как учить тело не по учебнику, а через живую связь систем",planned
2026-08-29,AM,evergreen,H17,qQ98-TeSzmI,Социальный эксперимент с настоящим сердцем,анатомия/интерес,"Почему анатомия становится понятнее, когда ее можно увидеть вживую",planned
2026-08-29,PM,evergreen,H17,qQ98-TeSzmI,Социальный эксперимент с настоящим сердцем,анатомия/интерес,Интерес к телу: как анатомия меняет отношение к здоровью,planned
2026-08-30,AM,evergreen,H37,FT4d0Un-Dxc,Путь от классической медицины к остеопатии,карьера/путь,Почему специалист начинает искать системный подход к человеку,planned
2026-08-30,PM,evergreen,H37,FT4d0Un-Dxc,Путь от классической медицины к остеопатии,карьера/путь,Путь специалиста: как не потерять здравый смысл между методами,planned
2026-08-31,AM,evergreen,H38,bgUuaoZl-aA,Как выйти на миллион и принимать от 100 пациентов,специалистам/практика,Телесному специалисту нужны не только руки: почему важны доверие и система,planned
2026-08-31,PM,evergreen,H38,bgUuaoZl-aA,Как выйти на миллион и принимать от 100 пациентов,специалистам/практика,Практика специалиста без агрессивных продаж: как говорить спокойно и честно,planned
