date,slot,source_type,source_id,video_id,source_title,theme_cluster,article_angle,status
2026-07-02,AM,long,H19,oAxdZ8AeptM,"Аденоиды: причины, симптомы и лечение без операции",аденоиды/дети,"Аденоиды у ребенка: какие сигналы нельзя списывать только на “частые простуды”",planned
2026-07-02,PM,long,H19,oAxdZ8AeptM,"Аденоиды: причины, симптомы и лечение без операции",аденоиды/дети,"Когда с аденоидами нужен врач, а когда важны дыхание, сон и восстановление",planned
2026-07-03,AM,long,H21,sIBiarlyszo,Как избавиться от храпа. Опасные последствия храпа,храп/сон,"Храп — это не просто звук: какие сигналы тела стоит проверить",planned
2026-07-03,PM,long,H21,sIBiarlyszo,Как избавиться от храпа. Опасные последствия храпа,храп/сон,"Почему сон не восстанавливает, если дыхание ночью работает плохо",planned
2026-07-04,AM,long,H24,lyZEd4qywyo,"ОРВИ, кашель, насморк: почему вы болеете снова и снова",ОРВИ/восстановление,"Почему простуды возвращаются: не только иммунитет, но и восстановление тела",planned
2026-07-04,PM,long,H24,lyZEd4qywyo,"ОРВИ, кашель, насморк: почему вы болеете снова и снова",ОРВИ/восстановление,"Что мешает восстановиться после ОРВИ: сон, дыхание, напряжение, привычки",planned
2026-07-05,AM,long,H36,kJQDgYpaVZU,Профилактика и самопомощь при ОРВИ,ОРВИ/самопомощь,Как поддержать себя при первых признаках ОРВИ без героизма и крайностей,planned
2026-07-05,PM,long,H36,kJQDgYpaVZU,Профилактика и самопомощь при ОРВИ,ОРВИ/самопомощь,"Почему при простуде важно не только “сбить симптомы”, а дать телу восстановиться",planned
2026-07-06,AM,long,H45,ZRXOCux8-UA,Самокоррекция при первых признаках ОРВИ,ОРВИ/техники,"Первые признаки ОРВИ: что можно сделать мягко, пока не стало хуже",planned
2026-07-06,PM,long,H45,ZRXOCux8-UA,Самокоррекция при первых признаках ОРВИ,ОРВИ/техники,Какие техники самопомощи при простуде должны быть осторожными,planned
2026-07-07,AM,long,H20,oI1OfBN1RRo,Не сбивай температуру. Как правильно лечиться,температура/болезнь,"Температура: почему телу иногда нужен процесс, а не паника",planned
2026-07-07,PM,long,H20,oI1OfBN1RRo,Не сбивай температуру. Как правильно лечиться,температура/болезнь,"Что важно не перепутать при болезни: самопомощь, отдых и обращение к врачу",planned
2026-07-08,AM,long,H04,feqpaweaE9E,Рабочие техники от головной боли,головная боль,"Головная боль напряжения: почему таблетки не всегда решают причину",planned
2026-07-08,PM,long,H04,feqpaweaE9E,Рабочие техники от головной боли,головная боль,"Что проверить при головной боли: шея, дыхание, челюсть и режим",planned
2026-07-09,AM,long,H03,3Pg9usuLyZY,Как выспаться быстрее. Метод остеопата,сон,"Почему вы спите, но не восстанавливаетесь: дело может быть в напряжении тела",planned
2026-07-09,PM,long,H03,3Pg9usuLyZY,Как выспаться быстрее. Метод остеопата,сон,"Вечерний ритуал для сна: что важно расслабить, кроме головы",planned
2026-07-10,AM,long,H28,He9h4c8cGF0,"Напряжение плеча, скрутка плечевого пояса",плечо/шея,"Плечо тянет, а причина выше или ниже: почему локальная боль обманывает",planned
2026-07-10,PM,long,H28,He9h4c8cGF0,"Напряжение плеча, скрутка плечевого пояса",плечо/шея,"Скрутка плечевого пояса: как привычки посадки влияют на шею и дыхание",planned
2026-07-11,AM,long,H29,yE34t84qRWc,Хроническая боль в кисти,кисть/нервы,"Болит кисть: почему причина может прятаться не в самой руке",planned
2026-07-11,PM,long,H29,yE34t84qRWc,Хроническая боль в кисти,кисть/нервы,"Почему пациенты не говорят о первопричине боли: стресс, привычки и тело",planned
2026-07-12,AM,long,H12,sx5ur-Nx4YA,Остеохондроз и боль в спине,спина/остеохондроз,"Остеохондроз: почему этот диагноз не всегда объясняет боль",planned
2026-07-12,PM,long,H12,sx5ur-Nx4YA,Остеохондроз и боль в спине,спина/остеохондроз,"Боль в спине: какая ошибка мешает искать реальную нагрузку",planned
2026-07-13,AM,long,H13,GWMp40DKjRg,Истинные причины сколиоза,сколиоз/осанка,"Сколиоз: почему дело не только в “кривом позвоночнике”",planned
2026-07-13,PM,long,H13,GWMp40DKjRg,Истинные причины сколиоза,сколиоз/осанка,"Что важно понимать об осанке, если тело постоянно уводит в сторону",planned
2026-07-14,AM,long,H31,sNWwS39EPxU,Изжога и рефлюкс. Клинические разборы,ЖКТ/рефлюкс,"Изжога и рефлюкс: почему причина может быть не только в еде",planned
2026-07-14,PM,long,H31,sNWwS39EPxU,Изжога и рефлюкс. Клинические разборы,ЖКТ/рефлюкс,"Диафрагма, стресс и ЖКТ: какие связи часто выпадают из внимания",planned
2026-07-15,AM,long,H01,3CYA3ALcuoc,Почему нарушается желчеотток,ЖКТ/желчеотток,"Тяжесть в животе: почему желчеотток может зависеть не только от питания",planned
2026-07-15,PM,long,H01,3CYA3ALcuoc,Почему нарушается желчеотток,ЖКТ/желчеотток,"Живот, дыхание и стресс: что стоит заметить до жестких ограничений в еде",planned
2026-07-16,AM,long,H34,qvyxzbw9rRA,Висцеральная самокоррекция,висцеральная практика,"Почему живот реагирует на стресс: телесная логика без мистики",planned
2026-07-16,PM,long,H34,qvyxzbw9rRA,Висцеральная самокоррекция,висцеральная практика,"Висцеральная самокоррекция: где нужна мягкость и осторожность",planned
2026-07-17,AM,long,H35,qMLzGSJ8wsI,Лимфодренажная тренировка,лимфа/отеки,"Отеки и тяжесть: почему лимфе мешает не только вода и соль",planned
2026-07-17,PM,long,H35,qMLzGSJ8wsI,Лимфодренажная тренировка,лимфа/отеки,"Лимфодренаж дома: какие ошибки превращают практику в перегрузку",planned
2026-07-18,AM,long,H41,Ix8nF-3mySE,Вальгус у детей. Остеопатическая зарядка,дети/стопы,"Вальгус у ребенка: почему стопа связана с телом целиком",planned
2026-07-18,PM,long,H41,Ix8nF-3mySE,Вальгус у детей. Остеопатическая зарядка,дети/стопы,"Детская зарядка: как не превратить заботу об осанке в давление",planned
2026-07-19,AM,long,H42,2W-qqDravuM,Остеопатический комплекс для мам,мамы/восстановление,"Тело мамы после нагрузки: почему спина и таз требуют внимания",planned
2026-07-19,PM,long,H42,2W-qqDravuM,Остеопатический комплекс для мам,мамы/восстановление,"Мягкая практика для мам: как восстанавливаться без гонки за идеалом",planned
2026-07-20,AM,long,H43,YKQjyAN1URU,Упражнение 5,упражнение/самопомощь,"Одно упражнение не чинит тело: как правильно смотреть на самопомощь",planned
2026-07-20,PM,long,H43,YKQjyAN1URU,Упражнение 5,упражнение/самопомощь,"Почему техника работает только в системе: дыхание, нагрузка и регулярность",planned
2026-07-21,AM,long,H02,jnW6ImEGmUQ,Причина опущения матки и влагалища,женское здоровье,"Тазовое дно: почему деликатные симптомы нельзя стыдливо замалчивать",planned
2026-07-21,PM,long,H02,jnW6ImEGmUQ,Причина опущения матки и влагалища,женское здоровье,Когда упражнения для тазового дна могут быть не первой задачей,planned
2026-07-22,AM,long,H15,J39EMYDdKU0,"Ozempic, зрение, слух: медицинские новости",медновости,"Медицинские новости пугают: как читать их без паники и самолечения",planned
2026-07-22,PM,long,H15,J39EMYDdKU0,"Ozempic, зрение, слух: медицинские новости",медновости,Почему громкие истории о препаратах нельзя превращать в личный диагноз,planned
2026-07-23,AM,long,H22,frh6O2I9zXM,Как избавиться от сигарет за 15 минут,курение/привычки,Почему бросить курить сложно не только из-за силы воли,planned
2026-07-23,PM,long,H22,frh6O2I9zXM,Как избавиться от сигарет за 15 минут,курение/привычки,"Тело, стресс и привычка: что поддерживает тягу к сигаретам",planned
2026-07-24,AM,long,H27,KJR6QF8vmD0,Остеопатия это секта!,остеопатия/доверие,"Остеопатия: где заканчивается миф и начинается здравый смысл",planned
2026-07-24,PM,long,H27,KJR6QF8vmD0,Остеопатия это секта!,остеопатия/доверие,"Как выбирать специалиста по телу: признаки осторожного подхода",planned
2026-07-25,AM,long,H26,TpM40sWFFAM,Кто такой остеопат? Подкаст,остеопатия/профессия,"Кто такой остеопат простыми словами: без магии и громких обещаний",planned
2026-07-25,PM,long,H26,TpM40sWFFAM,Кто такой остеопат? Подкаст,остеопатия/профессия,"Почему хороший телесный специалист сначала думает, а потом трогает",planned
2026-07-26,AM,long,H08,ibxZ-Qorb5g,Тело как инструмент познания,философия тела,"Тело как архив привычек: почему симптомы иногда говорят языком нагрузки",planned
2026-07-26,PM,long,H08,ibxZ-Qorb5g,Тело как инструмент познания,философия тела,Как научиться замечать тело без тревоги и самодиагностики,planned
2026-07-27,AM,long,H07,Ix4ECGiJ9t4,Как выучить анатомию за 3 месяца,анатомия/обучение,"Почему анатомию трудно выучить зубрежкой: нужен живой смысл",planned
2026-07-27,PM,long,H07,Ix4ECGiJ9t4,Как выучить анатомию за 3 месяца,анатомия/обучение,"Как изучать тело, чтобы понимать человека, а не только картинки",planned
2026-07-28,AM,long,H17,qQ98-TeSzmI,Социальный эксперимент с настоящим сердцем,анатомия/интерес,"Почему живую анатомию трудно забыть: тело понимается не только глазами",planned
2026-07-28,PM,long,H17,qQ98-TeSzmI,Социальный эксперимент с настоящим сердцем,анатомия/интерес,Как интерес к анатомии помогает бережнее относиться к своему телу,planned
2026-07-29,AM,long,H37,FT4d0Un-Dxc,Путь от классической медицины к остеопатии,карьера/путь,"Почему специалист меняет подход: путь от протокола к системному взгляду",planned
2026-07-29,PM,long,H37,FT4d0Un-Dxc,Путь от классической медицины к остеопатии,карьера/путь,Что отличает зрелого телесного специалиста от человека с набором техник,planned
2026-07-30,AM,long,H38,bgUuaoZl-aA,Как выйти на миллион и принимать от 100 пациентов,специалистам/практика,Почему телесному специалисту мало хорошо делать руками,planned
2026-07-30,PM,long,H38,bgUuaoZl-aA,Как выйти на миллион и принимать от 100 пациентов,специалистам/практика,Как специалисту расти без агрессивных продаж и обещаний чудес,planned
2026-07-31,AM,long,H14,G_AtQnUn6CY,"Синдром самозванца, страх продаж и запись клиентами",специалистам/самозванец,"Синдром самозванца у специалиста: почему знание не всегда дает уверенность",planned
2026-07-31,PM,long,H14,G_AtQnUn6CY,"Синдром самозванца, страх продаж и запись клиентами",специалистам/самозванец,"Страх продаж в помогающей профессии: как говорить о ценности спокойно",planned
